Participant_ID,Country,Discipline,Stage,MTLD,MLU,Cohesion_Score,SBERT_Similarity
P14,Malaysia,Education,Original,73.2,15.8,0.44,1.0
P14,Malaysia,Education,AI_Revised,56.1,23.6,0.83,0.86
P14,Malaysia,Education,Author_Refined,67.5,20.2,0.71,0.93
P15,Pakistan,Philosophy,Original,78.4,13.1,0.37,1.0
P15,Pakistan,Philosophy,AI_Revised,58.2,21.1,0.76,0.77
P15,Pakistan,Philosophy,Author_Refined,71.6,17.5,0.6,0.88
P16,Iran,Linguistics,Original,76.2,16.7,0.49,1.0
P16,Iran,Linguistics,AI_Revised,54.9,24.8,0.87,0.89
P16,Iran,Linguistics,Author_Refined,69.1,21.8,0.74,0.95
P17,India,Politics,Original,64.8,13.6,0.4,1.0
P17,India,Politics,AI_Revised,51.2,22.1,0.78,0.76
P17,India,Politics,Author_Refined,58.2,18.7,0.63,0.87
P18,Brazil,History,Original,71.1,15.4,0.43,1.0
P18,Brazil,History,AI_Revised,55.7,23.2,0.82,0.82
P18,Brazil,History,Author_Refined,63.8,20.1,0.68,0.91
P19,Vietnam,Sociology,Original,77.9,14.3,0.41,1.0
P19,Vietnam,Sociology,AI_Revised,53.2,23.8,0.87,0.74
P19,Vietnam,Sociology,Author_Refined,66.4,19.6,0.7,0.88
P20,Nigeria,Education,Original,61.5,13.5,0.36,1.0
P20,Nigeria,Education,AI_Revised,48.7,21.9,0.76,0.81
P20,Nigeria,Education,Author_Refined,56.8,17.1,0.58,0.89
P21,Malaysia,Philosophy,Original,84.2,16.8,0.52,1.0
P21,Malaysia,Philosophy,AI_Revised,63.1,25.4,0.89,0.79
P21,Malaysia,Philosophy,Author_Refined,75.3,21.9,0.76,0.92
P22,Pakistan,Linguistics,Original,70.1,15.5,0.42,1.0
P22,Pakistan,Linguistics,AI_Revised,53.9,24.1,0.84,0.86
P22,Pakistan,Linguistics,Author_Refined,62.4,20.7,0.69,0.91
P23,Iran,Politics,Original,66.7,14.1,0.39,1.0
P23,Iran,Politics,AI_Revised,50.8,22.5,0.79,0.75
P23,Iran,Politics,Author_Refined,57.9,18.2,0.65,0.85
P24,India,History,Original,72.8,15.9,0.47,1.0
P24,India,History,AI_Revised,55.4,22.8,0.81,0.83
P24,India,History,Author_Refined,65.1,20.5,0.68,0.93
P25,Brazil,Sociology,Original,79.1,14.6,0.41,1.0
P25,Brazil,Sociology,AI_Revised,54.1,23.7,0.87,0.77
P25,Brazil,Sociology,Author_Refined,67.2,19.8,0.72,0.89
P26,Vietnam,Education,Original,63.1,13.4,0.37,1.0
P26,Vietnam,Education,AI_Revised,49.8,21.5,0.78,0.82
P26,Vietnam,Education,Author_Refined,58.1,17.4,0.6,0.9
P27,Nigeria,Philosophy,Original,83.5,16.5,0.49,1.0
P27,Nigeria,Philosophy,AI_Revised,61.2,24.9,0.86,0.81
P27,Nigeria,Philosophy,Author_Refined,74.8,21.5,0.74,0.92
P28,Malaysia,Linguistics,Original,71.2,15.1,0.43,1.0
P28,Malaysia,Linguistics,AI_Revised,54.2,23.3,0.83,0.87
P28,Malaysia,Linguistics,Author_Refined,63.5,20.3,0.71,0.91
P29,Pakistan,Politics,Original,68.1,14.2,0.38,1.0
P29,Pakistan,Politics,AI_Revised,51.5,22.2,0.77,0.76
P29,Pakistan,Politics,Author_Refined,59.4,18.1,0.63,0.86
P30,Iran,History,Original,75.4,16.3,0.46,1.0
P30,Iran,History,AI_Revised,52.7,24.1,0.84,0.84
P30,Iran,History,Author_Refined,65.8,21.1,0.74,0.92
